Celebrity,Filename,face_lw_ratio,forehead_ratio,midface_ratio,lowerface_ratio,eye_distance_ratio,nose_ratio,mouth_chin_ratio,jaw_angle,upper_lip_ratio,lower_lip_ratio,eye_aspect_ratio,eye_curvature_ratio,eye_symmetry
Sundar_Pichai,d5940f9bd34827e066c3d2a75157591e.jpg,0.722,0.335,0.341,0.366,0.274,0.943,1.103,144.623,0.155,0.213,0.311,0.065,0.757
Andrew_Ng,000001.jpg,0.888,0.345,0.344,0.341,0.236,1.096,1.271,145.026,0.078,0.135,0.247,0.061,0.956
Warren_Buffett,000001.jpg,0.417,0.345,0.321,0.353,0.262,0.544,1.322,156.755,0.115,0.212,0.388,0.071,0.902
Steven_Spielberg,000001.jpg,0.951,0.348,0.331,0.36,0.245,1.241,1.245,137.83,0.07,0.115,0.18,0.04,0.981
Bill_Gates,000001.jpg,0.738,0.341,0.338,0.351,0.266,0.981,1.391,148.254,0.054,0.199,0.257,0.057,0.901
Kim_Kardashian,000001.jpg,0.952,0.314,0.361,0.366,0.257,1.065,1.208,149.488,0.149,0.232,0.265,0.06,0.952
John_F._Kennedy,dca986789ec5583fd68463675dcfbdfa.jpg,0.91,0.338,0.296,0.405,0.23,1.107,1.121,140.62,0.118,0.14,0.239,0.051,0.961
Donald_Trump,000001.jpg,0.905,0.318,0.368,0.346,0.271,1.029,1.092,143.933,0.089,0.127,0.264,0.049,0.883
LeBron_James,99a164170dc377968b40622c0a5f56f4.jpg,0.571,0.321,0.317,0.413,0.257,0.929,1.439,144.603,0.128,0.355,0.386,0.083,0.977
Drew_Houston,000001.jpg,0.489,0.357,0.309,0.375,0.243,0.585,0.928,155.141,0.202,0.255,0.51,0.111,0.973
Michael_Bloomberg,000001.jpg,0.882,0.341,0.334,0.366,0.24,1.032,1.135,141.807,0.077,0.11,0.26,0.059,0.919
Michael_Jordan,7f158bbd95c08ec550a1974857cb71e3.jpg,0.895,0.318,0.316,0.411,0.244,1.293,1.102,138.86,0.123,0.173,0.256,0.059,0.919
Serena_Williams,3b24ebecc7dc31b6897d74389abdf3e7.jpg,0.695,0.314,0.375,0.363,0.272,0.853,1.277,152.894,0.216,0.268,0.297,0.06,0.953
Hillary_Clinton,880a81196f2aeeb5df696f7c833663a0.jpg,0.927,0.344,0.351,0.348,0.244,0.996,1.06,141.148,0.107,0.136,0.338,0.074,0.888
Bernie_Sanders,1cfd2fecb03ee7f827f93fe56e1dc287.jpg,0.422,0.32,0.313,0.411,0.25,0.567,1.064,154.523,0.197,0.249,0.421,0.08,0.842
Christopher_Nolan,000001.jpg,0.746,0.343,0.284,0.424,0.237,1.031,0.932,139.366,0.16,0.19,0.282,0.065,0.934
Robert_Downey_Jr,c7e473bae67d41df581ccd7814d0af07.jpg,0.935,0.347,0.331,0.359,0.231,1.076,1.096,142.586,0.073,0.134,0.242,0.056,0.878
Kylie_Jenner,000001.jpg,1.104,0.341,0.372,0.35,0.226,1.266,1.079,146.1,0.115,0.182,0.271,0.066,0.855
Jensen_Huang,909cf92cb74fba7c73a43604aa35e638.jpg,0.846,0.345,0.308,0.393,0.248,1.067,1.22,142.722,0.103,0.201,0.248,0.053,0.965
Mark_Cuban,f1f05d5f9f6242ee35a4b566d0dcee17.jpg,0.766,0.347,0.284,0.418,0.231,1.11,1.029,133.037,0.129,0.131,0.282,0.067,0.888
Taylor_Swift,9bf546e475234545d92c98b1c18480e0.jpg,1.033,0.342,0.362,0.335,0.248,1.111,1.141,144.89,0.101,0.151,0.262,0.058,0.939
